Id,Weekly_Sales
1_8_2013-04-12,28393.206055306233
1_8_2013-04-19,27218.22019028895
1_8_2013-04-26,28398.308582433616
1_8_2013-05-03,30344.719319029296
1_8_2013-05-10,28347.763943119982
1_8_2013-05-17,26671.644400146713
1_8_2013-05-24,27365.31907019205
1_8_2013-05-31,28456.83927980494
1_8_2013-06-07,25739.75903103406
1_8_2013-06-14,25766.56552586319
1_8_2013-06-21,25651.52966036886
1_8_2013-06-28,18969.14379764285
1_8_2013-07-05,28700.697922762953
1_8_2013-07-12,26110.789681430168
1_8_2013-07-19,26297.73957280866
1_8_2013-07-26,25537.22747004175
1_9_2012-11-02,40067.70365155372
1_9_2012-11-09,31569.10882691245
1_9_2012-11-16,26979.41977769442
1_9_2012-11-23,37482.069422617074
1_9_2012-11-30,21715.322582974288
1_9_2012-12-07,30080.75842821154
1_9_2012-12-14,32193.789912020446
1_9_2012-12-21,45308.93320766849
1_9_2012-12-28,25350.34005565629
1_9_2013-01-04,24003.11207686025
1_9_2013-01-11,22392.19374896924
1_9_2013-01-18,20275.48204343007
1_9_2013-01-25,16899.020666321252
1_9_2013-02-01,22228.17325409296
1_9_2013-02-08,20772.639462051047
1_9_2013-02-15,27165.874651582166
1_9_2013-02-22,25133.250356854882
1_9_2013-03-01,28405.819146957554
1_9_2013-03-08,26114.014937994885
1_9_2013-03-15,29881.334633857037
1_9_2013-03-22,29221.517489797647
1_9_2013-03-29,37215.63379485741
1_9_2013-04-05,29406.972695938697
1_9_2013-04-12,26484.900077338098
1_9_2013-04-19,25963.55203872199
1_9_2013-04-26,26791.97734691196
1_9_2013-05-03,27542.660050358354
1_9_2013-05-10,25847.60521361672
1_9_2013-05-17,25245.360270013327
1_9_2013-05-24,26248.725357078045
1_9_2013-05-31,26921.010725760425
1_9_2013-06-07,25250.77258963658
1_9_2013-06-14,25581.467609457493
1_9_2013-06-21,25987.96223103766
1_9_2013-06-28,24350.379030384516
1_9_2013-07-05,27367.294027494147
1_9_2013-07-12,24018.279368203486
1_9_2013-07-19,24161.574676687796
1_9_2013-07-26,23988.67448434078
1_10_2012-11-02,30539.459392994864
1_10_2012-11-09,26664.12343777199
1_10_2012-11-16,26106.747634690615
1_10_2012-11-23,30284.02154518386
1_10_2012-11-30,21427.77078789315
1_10_2012-12-07,29754.69926638874
1_10_2012-12-14,29423.561178135926
1_10_2012-12-21,29822.87503205827
1_10_2012-12-28,25280.58280067162
1_10_2013-01-04,24428.566427359918
1_10_2013-01-11,22835.459739855865
1_10_2013-01-18,21711.75722945666
1_10_2013-01-25,20527.530204230286
1_10_2013-02-01,29948.27339220679
1_10_2013-02-08,29185.88762534597
1_10_2013-02-15,29908.183884476846
1_10_2013-02-22,28718.48670036951
1_10_2013-03-01,34554.208706937134
1_10_2013-03-08,26690.528011519767
1_10_2013-03-15,27087.923350140987
1_10_2013-03-22,28121.000909050083
1_10_2013-03-29,23549.578759177646
1_10_2013-04-05,30863.218006542884
1_10_2013-04-12,26782.004790109386
1_10_2013-04-19,23748.913779746577
1_10_2013-04-26,25950.292351202155
1_10_2013-05-03,29575.037763421187
1_10_2013-05-10,26472.76328096278
1_10_2013-05-17,25180.98060305316
1_10_2013-05-24,24916.12587867064
1_10_2013-05-31,26636.248712797696
1_10_2013-06-07,25274.66859611183
1_10_2013-06-14,25796.65602006287
1_10_2013-06-21,25836.95208132799
1_10_2013-06-28,26382.86557058605
1_10_2013-07-05,30086.01947936667
1_10_2013-07-12,25695.51532033824
1_10_2013-07-19,24741.072804842777
1_10_2013-07-26,25234.604999373536
1_11_2012-11-02,24798.6093281711
1_11_2012-11-09,23180.855327475805
1_11_2012-11-16,23288.545711428847
1_11_2012-11-23,29033.257703373052
1_11_2012-11-30,19522.825220618994
1_11_2012-12-07,24518.302319623584
1_11_2012-12-14,28080.35835255596
1_11_2012-12-21,30134.42150951648
1_11_2012-12-28,24276.547412317595
1_11_2013-01-04,24335.82548367827
1_11_2013-01-11,22289.887773537266
1_11_2013-01-18,21668.362245042386
1_11_2013-01-25,19260.131774270678
1_11_2013-02-01,22555.8976958353
1_11_2013-02-08,22501.075457570063
1_11_2013-02-15,23099.476520204007
1_11_2013-02-22,19453.001219157173
1_11_2013-03-01,20204.612784790595
1_11_2013-03-08,21169.51523401075
1_11_2013-03-15,24677.812191630284
1_11_2013-03-22,27310.610065512963
1_11_2013-03-29,24023.732554074948
1_11_2013-04-05,22917.716304236128
1_11_2013-04-12,22467.745816676506
1_11_2013-04-19,22932.715158621617
1_11_2013-04-26,23714.620494772334
1_11_2013-05-03,23010.455929613596
1_11_2013-05-10,26737.075134344264
1_11_2013-05-17,22874.26212297318
1_11_2013-05-24,24592.26995482664
1_11_2013-05-31,24906.995442012
1_11_2013-06-07,27502.872163283202
1_11_2013-06-14,25807.429412706086
1_11_2013-06-21,26667.3658832815
1_11_2013-06-28,27414.597562371022
1_11_2013-07-05,30333.257270221402
1_11_2013-07-12,25562.927845405764
1_11_2013-07-19,25054.19397344284
1_11_2013-07-26,25449.04629478648
1_12_2012-11-02,12182.365520143652
1_12_2012-11-09,14906.75740508655
1_12_2012-11-16,13133.163203612696
1_12_2012-11-23,22997.13169394844
1_12_2012-11-30,19226.658593403936
1_12_2012-12-07,16084.08476109378
1_12_2012-12-14,20267.308886207487
1_12_2012-12-21,12222.020870269967
1_12_2012-12-28,18012.241250801817
1_12_2013-01-04,31294.932414724382
1_12_2013-01-11,14947.57292196831
1_12_2013-01-18,16481.549779324996
1_12_2013-01-25,12630.834588885711
1_12_2013-02-01,12514.737944143271
1_12_2013-02-08,13122.593040610302
1_12_2013-02-15,14749.820283510702
1_12_2013-02-22,14276.471747292855
1_12_2013-03-01,15454.730826399742
1_12_2013-03-08,18298.557068615402
1_12_2013-03-15,20429.14904830456
1_12_2013-03-22,18894.48734150907
1_12_2013-03-29,24162.750014433404
1_12_2013-04-05,13508.277854916427
1_12_2013-04-12,18309.779539632007
1_12_2013-04-19,20134.86162792561
1_12_2013-04-26,21608.561199616535
1_12_2013-05-03,15696.120344192475
1_12_2013-05-10,19588.202297207856
1_12_2013-05-17,19987.833190493107
1_12_2013-05-24,19549.646538926307
1_12_2013-05-31,24433.738792655706
1_12_2013-06-07,20989.061652947257
1_12_2013-06-14,21397.370552651508
1_12_2013-06-21,22023.030521148532
1_12_2013-06-28,22730.183318727777
1_12_2013-07-05,15524.877370619497
1_12_2013-07-12,21160.8352022375
1_12_2013-07-19,22406.69979454387
1_12_2013-07-26,22780.026553808973
1_13_2012-11-02,37845.18394897436
1_13_2012-11-09,34685.75226262982
1_13_2012-11-16,20840.960159234237
1_13_2012-11-23,32762.009324549508
1_13_2012-11-30,13107.761769542105
1_13_2012-12-07,30635.31406981672
1_13_2012-12-14,30843.36519581783
1_13_2012-12-21,35370.341245021635
1_13_2012-12-28,28268.42689814408
1_13_2013-01-04,33707.05846706223
1_13_2013-01-11,32994.26914026278
1_13_2013-01-18,30681.712320394192
1_13_2013-01-25,29266.543797995408
1_13_2013-02-01,39909.592932622036
1_13_2013-02-08,27302.359309678952
1_13_2013-02-15,29325.51962664508
1_13_2013-02-22,24869.760116466
1_13_2013-03-01,37219.3122362018
1_13_2013-03-08,35307.66033243828
1_13_2013-03-15,30156.582760690704
1_13_2013-03-22,30390.52982039301
1_13_2013-03-29,29259.531610131362
1_13_2013-04-05,36716.559538282294
1_13_2013-04-12,32660.677956613647
1_13_2013-04-19,27125.336617159403
1_13_2013-04-26,28689.012106491213
1_13_2013-05-03,39320.855900589275
1_13_2013-05-10,32408.24428513902
1_13_2013-05-17,31005.570868981045
1_13_2013-05-24,24270.609042918702
1_13_2013-05-31,27898.684869574856
1_13_2013-06-07,31528.07667652042
1_13_2013-06-14,30884.6207790326
1_13_2013-06-21,28893.512805084763
1_13_2013-06-28,29098.10082563785
1_13_2013-07-05,38467.14562614877
1_13_2013-07-12,29268.871391711822
1_13_2013-07-19,26325.578230856718
1_13_2013-07-26,26166.06380304454
1_14_2012-11-02,12558.956924260963
1_14_2012-11-09,11495.131417736033
1_14_2012-11-16,17641.24634248474
1_14_2012-11-23,31744.55157444219
1_14_2012-11-30,11756.190363797674
1_14_2012-12-07,22027.719567521515
1_14_2012-12-14,29215.92452970422
1_14_2012-12-21,39480.16895417751
1_14_2012-12-28,23245.209931919082
1_14_2013-01-04,13015.78630203533
1_14_2013-01-11,19357.06793878242
1_14_2013-01-18,16739.275079445863
1_14_2013-01-25,15716.629907350216
1_14_2013-02-01,19081.656302923122
1_14_2013-02-08,16046.600882670737
1_14_2013-02-15,19357.163360911334
1_14_2013-02-22,18584.59460046491
1_14_2013-03-01,16824.846488753905
1_14_2013-03-08,19689.985598188672
1_14_2013-03-15,16647.761002258525
1_14_2013-03-22,17682.22693913218
1_14_2013-03-29,23830.238114090662
1_14_2013-04-05,15915.722018103217
1_14_2013-04-12,19165.518876165155
1_14_2013-04-19,16374.707680896077
1_14_2013-04-26,18271.13788051851
1_14_2013-05-03,19730.471431432514
1_14_2013-05-10,20428.759844933535
1_14_2013-05-17,20155.052037542777
1_14_2013-05-24,17014.65640601829
1_14_2013-05-31,22905.10744737019
1_14_2013-06-07,16513.392896603775
1_14_2013-06-14,20966.26575817655
1_14_2013-06-21,17531.324318828832
1_14_2013-06-28,24589.02921113651
1_14_2013-07-05,16514.057141309266
1_14_2013-07-12,19565.999617622412
1_14_2013-07-19,19548.306451920715
1_14_2013-07-26,20713.702136250013
1_16_2012-11-02,9432.711454127224
1_16_2012-11-09,9023.137945190601
1_16_2012-11-16,8688.284465393717
1_16_2012-11-23,12919.875263809865
1_16_2012-11-30,11435.73982916557
1_16_2012-12-07,6911.40965871446
1_16_2012-12-14,8268.740720024245
1_16_2012-12-21,9671.456738037754
1_16_2012-12-28,8606.293614234959
1_16_2013-01-04,7321.674864401227
1_16_2013-01-11,5339.677722890892
1_16_2013-01-18,4037.984927243527
1_16_2013-01-25,5410.114104975321
1_16_2013-02-01,11060.20289644352
1_16_2013-02-08,12810.972531829744
1_16_2013-02-15,14050.74295121042
1_16_2013-02-22,12701.88212753126
1_16_2013-03-01,22546.749175892593
1_16_2013-03-08,22445.991305780844
1_16_2013-03-15,39239.19095134249
1_16_2013-03-22,35845.747884670855
1_16_2013-03-29,41686.95852665274
1_16_2013-04-05,36427.70206277345
1_16_2013-04-12,29536.95635421218
1_16_2013-04-19,35630.081206710536
1_16_2013-04-26,40509.1823007765
1_16_2013-05-03,36398.385015282285
1_16_2013-05-10,19626.13409038412
1_16_2013-05-17,29488.005823993924
1_16_2013-05-24,35266.53106408829
1_16_2013-05-31,32360.378201185646
1_16_2013-06-07,24894.12523365212
1_16_2013-06-14,18798.39327970672
1_16_2013-06-21,24923.792378684444
1_16_2013-06-28,24758.50379620693
1_16_2013-07-05,35809.743707526206
1_16_2013-07-12,24953.161177647944
1_16_2013-07-19,20457.575338728264
1_16_2013-07-26,20928.098555194112
1_17_2012-11-02,8567.675587703081
1_17_2012-11-09,8258.269056577496
1_17_2012-11-16,9236.338753824244
1_17_2012-11-23,13658.48562925945
1_17_2012-11-30,11773.902125111132
1_17_2012-12-07,15957.690276605674
1_17_2012-12-14,12985.202914033684
1_17_2012-12-21,17562.291332800556
1_17_2012-12-28,11045.05181336427
1_17_2013-01-04,7038.645220044465
1_17_2013-01-11,6501.517458828878
1_17_2013-01-18,3737.405887629171
1_17_2013-01-25,6249.594486641987
1_17_2013-02-01,10060.928341207928
1_17_2013-02-08,11814.387128192455
1_17_2013-02-15,13053.282190341039
1_17_2013-02-22,11131.131327573106
1_17_2013-03-01,10708.601016592802
1_17_2013-03-08,10554.100760465653
1_17_2013-03-15,9095.144007102988
1_17_2013-03-22,8318.547202368842
1_17_2013-03-29,16512.656456677276
1_17_2013-04-05,9513.426847180397
1_17_2013-04-12,7786.272189620319
1_17_2013-04-19,12950.630650518706
1_17_2013-04-26,12413.27748368953
1_17_2013-05-03,9973.897677984494
1_17_2013-05-10,11101.095943779865
1_17_2013-05-17,8046.319563765413
1_17_2013-05-24,12978.486746765713
1_17_2013-05-31,11250.170720395288
1_17_2013-06-07,8070.157717533745
1_17_2013-06-14,11846.938478276907
1_17_2013-06-21,8545.09501831636
1_17_2013-06-28,11024.352479783425
1_17_2013-07-05,9458.169653498955
1_17_2013-07-12,10463.463557485436
1_17_2013-07-19,11719.736079309278
1_17_2013-07-26,10778.529544763887
1_18_2012-11-02,9776.52257016912
1_18_2012-11-09,8341.090937185114
1_18_2012-11-16,8990.003459841257
1_18_2012-11-23,18376.795221024622
1_18_2012-11-30,10102.912903817134
1_18_2012-12-07,35786.84601027482
1_18_2012-12-14,29867.84438965706
1_18_2012-12-21,19766.321286627033
1_18_2012-12-28,13549.557377405587
1_18_2013-01-04,5873.407538874564
1_18_2013-01-11,3818.568072993442
1_18_2013-01-18,2239.884131253097
1_18_2013-01-25,2830.7357029491104
1_18_2013-02-01,4897.684307692146
1_18_2013-02-08,11978.721295239031
1_18_2013-02-15,20204.89217330868
1_18_2013-02-22,3446.982898405805
1_18_2013-03-01,4952.152983257029
1_18_2013-03-08,5972.614457739762
1_18_2013-03-15,4608.850537140433
1_18_2013-03-22,3690.7999098170685
1_18_2013-03-29,8196.289951602397
1_18_2013-04-05,6677.57293402711
1_18_2013-04-12,6402.904482862605
1_18_2013-04-19,6800.759490168231
1_18_2013-04-26,5796.741033635097
1_18_2013-05-03,5176.131612072047
1_18_2013-05-10,6792.146363654185
1_18_2013-05-17,7361.599871563524
1_18_2013-05-24,5640.180325444733
1_18_2013-06-07,6806.49449832388
1_18_2013-07-05,9119.70392876179
1_19_2012-11-02,5543.0988550315205
1_19_2012-11-09,7178.52427538731
1_19_2012-11-16,6728.90784422689
1_19_2012-11-23,7881.663034619951
1_19_2012-11-30,10947.412486666099
1_19_2012-12-07,14318.966401906315
1_19_2012-12-14,5025.510038446896
1_19_2012-12-21,5624.2083198230475
1_19_2012-12-28,6482.302025557663
1_19_2013-01-04,3584.0394466080593
1_19_2013-01-11,2318.3491118914494
1_19_2013-01-18,1942.6142588351245
1_19_2013-01-25,2828.000537467387
1_19_2013-02-01,3301.5932852138876
1_19_2013-02-08,7410.563205871465
1_19_2013-02-15,3968.949564136656
1_19_2013-02-22,3484.0606738562224
1_19_2013-03-01,5875.649275122382
1_19_2013-03-08,6521.780937616333
1_19_2013-03-15,5563.607129974785
1_19_2013-03-22,3199.8616433155125
1_19_2013-03-29,10118.584907496308
1_19_2013-04-05,5094.098655331695
1_19_2013-04-12,6185.828629954061
1_19_2013-04-19,5674.542930246531
1_19_2013-04-26,4434.8828405020295
1_19_2013-05-03,5197.641513791506
1_19_2013-05-10,6510.994931364714
1_19_2013-05-17,6325.246415911969
1_19_2013-05-24,5153.070363523377
1_19_2013-05-31,5880.243725073068
1_19_2013-06-07,6777.1053212316565
1_19_2013-06-14,6339.933675084714
1_19_2013-06-21,5667.583279772984
1_19_2013-06-28,2651.7424579948965
1_19_2013-07-05,4821.254960837651
1_19_2013-07-12,6695.011930508945
1_19_2013-07-19,6556.844858218951
1_19_2013-07-26,6808.127299761562
1_20_2012-11-02,6032.9758524525705
1_20_2012-11-09,7356.092116180305
1_20_2012-11-16,7174.370329621739
1_20_2012-11-23,8769.793607715132
1_20_2012-11-30,11079.525134018088
1_20_2012-12-07,6863.395102642273
1_20_2012-12-14,5537.204982655507
1_20_2012-12-21,8816.141621050056
1_20_2012-12-28,7410.478204800388
1_20_2013-01-04,4760.589352330387
1_20_2013-01-11,4389.913931949733
1_20_2013-01-18,5025.048706974865
1_20_2013-01-25,4522.5447196698
1_20_2013-02-01,5220.408934082984
1_20_2013-02-08,7893.407230577047
1_20_2013-02-15,5699.636330887574
1_20_2013-02-22,4761.714877252749
1_20_2013-03-01,6308.3525618338
1_20_2013-03-08,6508.8575378098785
1_20_2013-03-15,6057.433534914708
1_20_2013-03-22,5042.98260378819
1_20_2013-03-29,9617.189069622616
1_20_2013-04-05,6081.476687719119
1_20_2013-04-12,6436.265883011039
1_20_2013-04-19,5698.266457442364
1_20_2013-04-26,5343.66247014084
1_20_2013-05-03,6142.672940369932
1_20_2013-05-10,6995.24786698782
1_20_2013-05-17,6414.974977580484
1_20_2013-05-24,6127.956332188291
1_20_2013-05-31,5230.387054596876
1_20_2013-06-07,7198.709033278628
1_20_2013-06-14,6405.238211691818
1_20_2013-06-21,6070.899781319202
1_20_2013-06-28,4673.909692723729
1_20_2013-07-05,6039.083587200453
1_20_2013-07-12,7171.599773268267
1_20_2013-07-19,6877.057408183185
1_20_2013-07-26,6399.369198158735
1_21_2012-11-02,7381.393582134531
